Génération20;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération21;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération22;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération23;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération24;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération25;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération26;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération27;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération28;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
Génération29;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;
